No of commenced toilet photo,No of Application verified, No of application Approved, No of application pullback, No of application not verified, No of application pullback,No. of Constructed Toilet Photo through Swachhalaya,ULB,No. of Constructed Toilet Photo	No. of Commenced Toilet Photo,No. of Applications Received,District, No. of Applications Approved having Aadhar No,lambda,State
65,982,896,1,247,0,0,Telhara (M Cl),765,Akola,1240,814,10,Maharashtra
40,2260,2260,2,0,0,0,Achalpur (M Cl),2002,Amravati,4985,1067,2723,Maharashtra
1,14616,13928,2,34,1467,1,Amravati (M Corp.),13410,Amravati,16605,12230,486,Maharashtra
8,2836,2123,2,702,0,0,Anjangaon (M Cl),1340,Amravati,3653,1353,113,Maharashtra
91,757,757,0,0,2,2,Bhatakuli (NP),640,Amravati,759,246,0,Maharashtra
19,750,750,0,14,0,0,Chandur Railway (M Cl),542,Amravati,986,726,222,Maharashtra
4,350,340,1,26,0,0,Chandurbazar (M Cl),299,Amravati,381,332,4,Maharashtra
0,227,226,0,0,1,0,Chikhaldara (M Cl),249,Amravati,250,212,22,Maharashtra
61,1717,1717,0,200,0,2,Daryapur Banosa (M Cl),1181,Amravati,1987,1185,70,Maharashtra
28,895,895,0,1,0,0,Dattapur Dhamangaon (M Cl),710,Amravati,963,732,67,Maharashtra
70,1273,1267,0,0,0,0,Dharni (NP),1017,Amravati,1275,394,2,Maharashtra
244,1599,1524,1,233,0,0,Morshi (M Cl),1386,Amravati,1867,1441,34,Maharashtra
0,812,593,0,39,0,0,Nandgaon Khandeshwar (NP),666,Amravati,852,315,1,Maharashtra
18,1710,1708,0,0,0,0,Shendurjana (M Cl),1698,Amravati,1801,1282,91,Maharashtra
2,645,520,0,44,0,1,Teosa NP,437,Amravati,701,501,12,Maharashtra
63,1462,1462,1,0,10,0,Warud (M Cl),1317,Amravati,1511,1112,38,Maharashtra
0,0,0,0,0,0,0,Aurangabad (CB),0,Aurangabad,0,0,0,Maharashtra
53,8930,8930,3,348,0,0,Aurangabad (M Corp.),6093,Aurangabad,9290,6589,9,Maharashtra
48,2155,2155,0,17,2,1,Gangapur (M Cl),1537,Aurangabad,2188,1977,14,Maharashtra
22,1569,1529,1,334,0,3,Kannad (M Cl),1089,Aurangabad,1925,476,21,Maharashtra
7,831,831,0,103,0,0,Khuldabad (M Cl),836,Aurangabad,937,755,3,Maharashtra
13,2597,2597,0,1,16,2,Paithan (M Cl),2597,Aurangabad,4431,2192,1817,Maharashtra
60,493,493,1,4,0,0,Phulambri (NP),333,Aurangabad,500,490,2,Maharashtra
76,3807,3785,1,120,0,1,Sillod (M Cl),3139,Aurangabad,5105,1840,1177,Maharashtra
6,0,0,6,724,0,0,Soigaon (NP),522,Aurangabad,730,0,0,Maharashtra
9,2511,2504,1,15,5,3,Vaijapur (M Cl),2114,Aurangabad,3242,459,710,Maharashtra
36,1044,1044,0,22,0,0,Bhandara (M Cl),892,Bhandara,1248,822,182,Maharashtra
150,1111,1057,0,6,0,0,Lakhandur (NP),906,Bhandara,1133,683,16,Maharashtra
22,385,384,0,0,0,0,Lakhani (NP),314,Bhandara,390,370,5,Maharashtra
30,438,423,0,1,0,0,Mohadi (NP),390,Bhandara,447,185,8,Maharashtra
5,1440,1397,0,4,15,1,Pauni (M Cl),1238,Bhandara,1576,619,117,Maharashtra
31,550,550,1,0,7,0,Sakoli (NP),505,Bhandara,712,533,154,Maharashtra
5,1206,1206,0,0,0,0,Tumsar (M Cl),1102,Bhandara,1360,310,154,Maharashtra
359,3579,3336,1,1937,0,0,Buldana (M Cl),2211,Buldana,5604,1759,87,Maharashtra
2,1861,1576,0,555,2,1,Chikhli (M Cl),1366,Buldana,2487,289,69,Maharashtra
168,1839,1839,0,3,20,0,Deulgaon Raja (M Cl),1243,Buldana,2103,1293,241,Maharashtra
22,2507,2507,0,0,3,6,Jalgaon (Jamod) (M Cl),2199,Buldana,3285,942,775,Maharashtra
51,4114,4097,1,934,0,0,Khamgaon (M Cl),2691,Buldana,5684,3639,635,Maharashtra
47,1337,1152,1,157,0,0,Lonar (M Cl),1030,Buldana,1766,1117,271,Maharashtra
24,3567,3565,5,223,3,0,Malkapur (M Cl),2343,Buldana,3887,3550,89,Maharashtra
294,4009,3998,0,104,452,0,Mehkar (M Cl),2691,Buldana,5248,1228,683,Maharashtra
25,555,555,0,7,0,2,Motala (NP),495,Buldana,566,545,4,Maharashtra
33,3053,2880,1,4,2,1,Nandura (M Cl),2256,Buldana,3377,1582,317,Maharashtra
39,724,448,0,4,0,0,Sangrampur (NP),326,Buldana,734,130,6,Maharashtra
145,3275,3200,0,735,8,0,Shegaon (M Cl),2472,Buldana,4170,3102,152,Maharashtra
6,1477,1476,1,2,136,3,Sindkhed Raja (M Cl),1068,Buldana,1624,1432,8,Maharashtra
14,3381,3381,1,674,1,0,Ballarpur (M Cl),3383,Chandrapur,4460,2962,403,Maharashtra
219,2414,2413,0,0,15,0,Bhadravati (M Cl),1875,Chandrapur,2650,99,221,Maharashtra
3,1472,1472,0,0,16,0,Brahmapuri (M Cl),1423,Chandrapur,1566,1068,78,Maharashtra
330,8686,8684,0,6,2,1,Chandrapur (M Cl),6644,Chandrapur,8785,2820,91,Maharashtra
24,1433,1433,0,17,0,0,Chimur Municipal Council,1043,Chandrapur,1512,986,62,Maharashtra
43,1491,1471,0,17,1,0,Gadchandur(MC),1162,Chandrapur,1688,1250,179,Maharashtra
69,569,556,0,39,0,0,Gond Pipari (NP),481,Chandrapur,622,548,14,Maharashtra
242,778,778,0,0,0,0,Jivati (NP),456,Chandrapur,861,751,83,Maharashtra
80,329,328,0,24,0,0,Korpana (NP),221,Chandrapur,353,320,0,Maharashtra
63,2144,2144,0,0,0,1,Mul (M Cl),1993,Chandrapur,2202,1736,58,Maharashtra
66,1651,1289,0,2,0,0,Nagbhid (M Cl),402,Chandrapur,1671,1283,18,Maharashtra
131,740,712,0,113,0,0,Pombhurna (NP),487,Chandrapur,853,663,0,Maharashtra
163,1300,1300,0,12,3,0,Rajura (M Cl),932,Chandrapur,1463,1214,148,Maharashtra
14,800,800,0,0,0,0,Saoli (NP),502,Chandrapur,801,796,1,Maharashtra
67,1107,1100,0,26,1,0,Sindewahi,1011,Chandrapur,1162,832,28,Maharashtra
122,1659,1638,0,1,0,0,Warora (M Cl),1178,Chandrapur,2005,1615,345,Maharashtra
41,5103,4240,3,2291,1,7,Dhule (M Corp.),4236,Dhule,7956,1537,558,Maharashtra
0,1232,1232,4,24,1,1,Dondaicha-Warwade(M Cl),1005,Dhule,1485,1094,224,Maharashtra
93,569,565,0,15,3,2,Sakri (NP),421,Dhule,744,560,157,Maharashtra
4,1367,1347,1,17,3,2,Shindkheda(NP),1115,Dhule,1398,1217,10,Maharashtra
0,1032,1032,0,0,1,0,Shirpur-Warwade (M Cl),1032,Dhule,4888,387,3855,Maharashtra
332,1872,1872,3,36,0,0,Aheri (NP),874,Gadchiroli,1979,1840,68,Maharashtra
102,1287,1285,1,151,0,1,Armori (NP),973,Gadchiroli,1676,1166,237,Maharashtra
15,154,27,0,68,0,0,Bhamaragad (NP),50,Gadchiroli,223,27,1,Maharashtra
48,1882,1882,0,0,0,3,Chamorsi (NP),1626,Gadchiroli,1946,1777,64,Maharashtra
52,2269,2269,0,40,608,0,Desaiganj (M Cl),1827,Gadchiroli,3417,1775,500,Maharashtra
65,906,763,4,17,0,7,Dhanora (NP),600,Gadchiroli,1020,235,93,Maharashtra
52,846,816,3,150,0,0,Etapalli (NP),127,Gadchiroli,1000,806,1,Maharashtra
58,2782,2781,0,24,3,0,Gadchiroli (M Cl),2300,Gadchiroli,3253,2765,444,Maharashtra
84,449,381,0,29,0,0,Korchi (NP),210,Gadchiroli,556,124,78,Maharashtra
0,395,336,0,66,0,0,Kurkheda (NP),252,Gadchiroli,468,9,7,Maharashtra
0,359,357,0,0,0,0,Mulchera (NP),68,Gadchiroli,360,355,1,Maharashtra
546,1410,967,0,51,0,0,Sironcha (NP),533,Gadchiroli,1463,927,2,Maharashtra
30,551,487,1,76,0,1,Arjuni (NP),155,Gondiya,628,480,0,Maharashtra
37,755,735,1,29,1,0,Deori,701,Gondiya,955,719,169,Maharashtra
25,3012,3012,3,48,0,2,Gondiya (M Cl),2642,Gondiya,5104,2870,2041,Maharashtra
121,1338,1278,0,7,0,1,Goregaon (NP),1082,Gondiya,1362,522,17,Maharashtra
22,505,498,0,40,0,2,Sadak Arjuni (NP),477,Gondiya,551,482,6,Maharashtra
22,453,449,0,1,0,0,Salekasa (NP),276,Gondiya,477,449,23,Maharashtra
41,1200,1200,1,4,0,0,Tirora (M Cl),903,Gondiya,1213,1185,8,Maharashtra
0,126,126,0,1,0,0,Gadhinglaj (M Cl),118,Kolhapur,145,108,18,Maharashtra
7,2392,2302,0,291,5,1,Ichalkaranji (M Cl),1929,Kolhapur,3920,1881,1232,Maharashtra
0,587,567,0,42,0,0,Jaysingpur (M Cl),405,Kolhapur,651,489,22,Maharashtra
0,314,271,1,7,0,0,Kagal (M Cl),272,Kolhapur,322,252,0,Maharashtra
30,3151,2550,0,0,218,2,Kolhapur (M Corp.),2143,Kolhapur,3369,518,0,Maharashtra
0,316,316,0,0,19,1,Kurundvad (M Cl),316,Kolhapur,390,220,55,Maharashtra
0,70,70,0,0,8,0,Malkapur (M Cl),70,Kolhapur,112,68,34,Maharashtra
0,106,106,0,0,11,0,Murgud (M Cl),106,Kolhapur,150,105,33,Maharashtra
0,94,94,0,0,18,0,Panhala (M Cl),94,Kolhapur,130,86,18,Maharashtra
0,223,223,0,1,5,0,Vadgaon Kasba (M Cl),223,Kolhapur,245,51,16,Maharashtra
125,12480,9035,11,151,64,13,BrihanMumbai Municipal Corporation,1381,Mumbai Suburban,14885,8149,2179,Maharashtra
2,776,776,0,0,0,0,Bhiwapur (NP),710,Nagpur,776,742,0,Maharashtra
0,344,344,0,34,2,0,Hingana (NP),344,Nagpur,395,316,15,Maharashtra
4,655,654,0,3,1,0,Kalameshwar (M Cl),554,Nagpur,807,634,148,Maharashtra
0,0,0,0,0,0,0,Kamptee (CB),0,Nagpur,0,0,0,Maharashtra
169,1446,1446,2,11,0,0,Kamptee (M Cl),874,Nagpur,3970,1220,2511,Maharashtra
7,1398,1065,0,10,1,0,Kanhan-Pipri (MC),658,Nagpur,1574,878,165,Maharashtra
14,738,729,0,129,239,1,Katol (M Cl),647,Nagpur,1227,617,121,Maharashtra
13,794,794,0,0,68,0,Khapa (M Cl),714,Nagpur,905,628,43,Maharashtra
30,480,480,0,8,0,0,Kuhi (NP),446,Nagpur,492,450,4,Maharashtra
15,1024,1024,0,0,1,0,Mahadula,829,Nagpur,1030,893,5,Maharashtra
12,242,231,0,1,9,0,Mohpa (M Cl),130,Nagpur,277,229,25,Maharashtra
0,570,570,0,0,34,0,Mouda,570,Nagpur,670,534,66,Maharashtra
17,244,244,0,1,0,0,Mowad (M Cl),208,Nagpur,462,218,217,Maharashtra
171,12967,12931,11,132,959,23,Nagpur (M Corp.),11833,Nagpur,23061,9926,8992,Maharashtra
53,1066,1066,0,5,15,1,Narkhed (M Cl),865,Nagpur,1271,978,185,Maharashtra
37,1016,1006,0,1,70,2,Ramtek (M Cl),753,Nagpur,1276,945,189,Maharashtra
41,1744,1744,0,0,287,1,Savner (M Cl),1744,Nagpur,2653,1663,622,Maharashtra
39,1514,1514,0,8,0,0,Umred (M Cl),1169,Nagpur,1838,1195,316,Maharashtra
39,574,544,1,1,54,0,Wadi (MC),472,Nagpur,929,354,299,Maharashtra
40,549,124,0,63,0,0,WANADONGRI NAGAR PARISHAD,389,Nagpur,676,119,64,Maharashtra
42,1220,1136,1,26,0,0,Ardhapur(M Cl),1019,Nanded Waghala,1997,890,750,Maharashtra
438,1943,1943,0,74,1,0,Bhokar (M Cl),1476,Nanded Waghala,2541,1799,523,Maharashtra
0,1572,1471,2,564,3,14,Biloli (M Cl),1184,Nanded Waghala,2454,799,313,Maharashtra
351,3010,3010,1,0,21,0,Deglur (M Cl),1931,Nanded Waghala,3486,2841,454,Maharashtra
21,3316,2973,0,23,0,0,Dharmabad (M Cl),2205,Nanded Waghala,3347,2868,8,Maharashtra
316,2072,1784,4,951,0,0,Hadgaon (M Cl),1601,Nanded Waghala,3041,1620,14,Maharashtra
0,1465,1139,1,29,0,0,Himayatnagar (NP),1027,Nanded Waghala,1497,813,2,Maharashtra
22,1365,1364,1,399,1,111,Kandhar (M Cl),911,Nanded Waghala,1769,847,3,Maharashtra
197,2061,2027,2,72,0,0,Kinwat (M Cl),1541,Nanded Waghala,2856,1721,721,Maharashtra
0,1859,1841,1,89,0,1,Kundalwadi (M Cl),1421,Nanded Waghala,2276,489,327,Maharashtra
26,1816,1267,3,401,0,0,Loha (M Cl),1582,Nanded Waghala,2237,296,17,Maharashtra
37,782,770,3,1204,0,1,Mahur (M Cl),710,Nanded Waghala,2034,741,45,Maharashtra
26,2314,1659,0,0,0,0,Mudkhed (M Cl),1401,Nanded Waghala,2402,1211,88,Maharashtra
70,1789,1789,1,582,3,0,Mukhed (M Cl),832,Nanded Waghala,2818,1667,443,Maharashtra
91,1254,0,0,1170,0,1,Naigaon (NP),1482,Nanded Waghala,2424,0,0,Maharashtra
4,4629,4629,6,1,1,1,Nanded Waghala (M Corp.),4243,Nanded Waghala,10610,2818,5973,Maharashtra
13,1189,1189,0,0,4,0,Peth Umri (M Cl),892,Nanded Waghala,1325,946,132,Maharashtra
0,0,0,0,0,0,0,Umri,0,Nanded Waghala,0,0,0,Maharashtra
4,1074,303,0,95,0,1,Dhadgaon Wadfalya (NP),1081,Nandurbar,1170,301,1,Maharashtra
0,1524,1524,2,803,0,0,Nandurbar (M Cl),1357,Nandurbar,2331,764,2,Maharashtra
0,1450,1385,0,43,2,2,Nawapur (M Cl),1359,Nandurbar,1676,1365,181,Maharashtra
1,1697,1501,1,945,0,1,Shahade (M Cl),2186,Nandurbar,2651,1089,8,Maharashtra
5,1552,1551,0,2,0,0,Talode (M Cl),1309,Nandurbar,1688,327,134,Maharashtra
0,281,263,0,93,2,0,Bhagur (M Cl),89,Nashik,384,263,8,Maharashtra
48,1154,1052,0,0,0,0,Chandwad (MC),861,Nashik,1161,3,7,Maharashtra
76,521,521,0,121,0,0,Deola NP,469,Nashik,643,512,1,Maharashtra
0,0,0,0,0,0,0,Deolali (CB),0,Nashik,0,0,0,Maharashtra
28,998,998,0,32,5,0,Dindori NP,712,Nashik,1040,584,5,Maharashtra
23,1121,1114,0,56,0,1,Igatpuri (M Cl),506,Nashik,1194,1095,17,Maharashtra
206,763,738,0,13,0,0,Kalwan NP,439,Nashik,778,725,2,Maharashtra
45,14101,14101,2,69,0,2,Malegaon (M Corp.),6999,Nashik,14358,13793,186,Maharashtra
23,2553,254,0,61,7,0,Manmad (M Cl),1784,Nashik,2637,247,16,Maharashtra
6,751,601,0,213,9,0,Nandgaon (M Cl),669,Nashik,1026,476,53,Maharashtra
70,21755,7264,0,10,1,1,Nashik (M Corp.),7264,Nashik,21781,149,15,Maharashtra
10,1147,1146,0,11,0,1,Niphad NP,743,Nashik,1172,1098,14,Maharashtra
0,464,464,0,0,0,1,Peth NP,416,Nashik,464,464,0,Maharashtra
1,780,779,0,664,0,0,Satana (M Cl),586,Nashik,1847,573,403,Maharashtra
70,2052,2052,0,2,1,1,Sinnar (M Cl),1500,Nashik,2367,1168,312,Maharashtra
2,71,9,0,218,0,0,Surgana NP,220,Nashik,290,9,1,Maharashtra
0,209,209,1,3,2,0,Trimbak (M Cl),208,Nashik,215,207,0,Maharashtra
21,1545,1400,1,0,0,2,Yevla (M Cl),860,Nashik,1758,1314,212,Maharashtra
8,1439,1439,0,3,0,0,Bhum (M Cl),1154,Osmanabad,1593,1315,151,Maharashtra
0,1260,1123,0,333,0,0,Kalamb (M Cl),1137,Osmanabad,1846,854,253,Maharashtra
53,479,409,1,26,2,0,Lohara B. (NP),340,Osmanabad,530,401,22,Maharashtra
2,2348,2342,0,0,0,5,Murum (M Cl),1782,Osmanabad,3120,1901,772,Maharashtra
18,1927,1916,0,598,2,0,Naldurg (M Cl),1199,Osmanabad,2538,1366,11,Maharashtra
38,3955,3153,1,0,2,0,Osmanabad (M Cl),2663,Osmanabad,3963,1321,5,Maharashtra
0,2004,2001,0,97,14,1,Paranda (M Cl),1442,Osmanabad,2154,1508,39,Maharashtra
96,1407,1265,0,0,10,0,Tuljapur (M Cl),802,Osmanabad,1482,1225,65,Maharashtra
45,2189,2105,0,184,2,0,Umarga (M Cl),1530,Osmanabad,3722,1897,1347,Maharashtra
12,1097,1097,0,325,0,0,Vashi (NP),1132,Osmanabad,1434,13,12,Maharashtra
15,2586,2582,0,5,28,0,Dahanu (M Cl),2100,Palghar,2676,2577,57,Maharashtra
0,283,283,0,106,1,0,Jawhar (M Cl),283,Palghar,391,270,1,Maharashtra
0,467,228,0,188,0,0,Mokhada,400,Palghar,659,56,4,Maharashtra
6,2563,2417,2,29,0,0,Palghar (M Cl),2411,Palghar,3037,2173,443,Maharashtra
0,408,0,0,60,0,0,Talasari,176,Palghar,468,0,0,Maharashtra
8,18558,10606,1,65,0,1,Vasai-Virar City (M Corp),10610,Palghar,18914,9899,290,Maharashtra
0,501,490,0,40,0,0,Vikramgad,490,Palghar,541,461,0,Maharashtra
30,4576,3076,7,11,3,0,Gangakhed (M Cl),1707,Parbhani,5500,2715,903,Maharashtra
4,2266,2175,2,294,0,1,Jintur (M Cl),1504,Parbhani,2838,1822,276,Maharashtra
17,3044,3044,6,2609,0,2,Manwath (M Cl),1958,Parbhani,5879,2556,220,Maharashtra
34,1269,1269,0,186,0,2,Palam (NP),1115,Parbhani,1466,1066,11,Maharashtra
2045,13708,11329,0,0,1,0,Parbhani (M Cl),5102,Parbhani,13757,10285,48,Maharashtra
244,2679,2679,2,977,0,0,Pathri (M Cl),2171,Parbhani,4068,2421,410,Maharashtra
659,2660,2660,3,3828,0,4,Purna (M Cl),1607,Parbhani,6535,2161,44,Maharashtra
315,3340,3339,1,0,2,2,Sailu (M Cl),2377,Parbhani,4455,2219,1112,Maharashtra
37,1927,1875,0,0,1,1,Sonpeth (M Cl),1445,Parbhani,2124,1772,196,Maharashtra
1,25,20,0,0,0,3,Alandi (M Cl),18,Pune,41,16,16,Maharashtra
0,1258,1258,0,1,1,0,Baramati (M Cl),590,Pune,1394,1195,134,Maharashtra
0,302,194,0,0,0,0,Bhor (M Cl),194,Pune,310,126,8,Maharashtra
24,80,80,0,114,0,0,CHAKAN,83,Pune,196,79,2,Maharashtra
2,607,544,0,94,0,0,Daund (M Cl),519,Pune,701,477,0,Maharashtra
0,0,0,0,0,0,0,Dehu Road (CB),0,Pune,0,0,0,Maharashtra
0,299,299,0,0,0,0,Indapur (M Cl),296,Pune,311,271,12,Maharashtra
2,452,391,0,148,0,0,Jejuri (M Cl),357,Pune,618,292,18,Maharashtra
2,145,145,0,3,0,1,Junnar (M Cl),136,Pune,163,11,15,Maharashtra
0,0,0,0,0,0,0,Kirkee (CB),0,Pune,0,0,0,Maharashtra
4,535,529,0,1,0,0,Lonavala (M Cl),367,Pune,591,524,55,Maharashtra
121,10292,9948,7,1439,185,1,Pimpri Chinchwad (M Corp.),9174,Pune,12429,9093,506,Maharashtra
0,0,0,0,0,0,0,Pune (CB),0,Pune,0,0,0,Maharashtra
40,46138,46138,19,2627,3873,20,Pune (M Corp.),46278,Pune,59349,43430,6692,Maharashtra
5,150,128,2,3,0,0,RajguruNagar,73,Pune,199,0,44,Maharashtra
0,581,581,0,1,125,0,Sasvad (M Cl),582,Pune,853,397,146,Maharashtra
8,533,533,0,0,0,0,Shirur (M Cl),507,Pune,1056,437,523,Maharashtra
0,293,273,0,0,0,2,Talegaon Dabhade (M Cl),219,Pune,298,220,5,Maharashtra
2,98,98,0,1,28,1,Alibag (M Cl),90,Raigadh,159,93,32,Maharashtra
0,668,668,0,1,0,1,Karjat (M Cl),441,Raigadh,779,66,110,Maharashtra
18,170,170,0,0,0,0,Khalapur(NP),141,Raigadh,182,170,12,Maharashtra
9,1245,1224,0,116,2,0,Khopoli (M Cl),1107,Raigadh,1685,1192,322,Maharashtra
0,87,87,0,1,1,0,Mahad (M Cl),71,Raigadh,99,74,10,Maharashtra
0,90,90,0,0,0,0,Mangaon (NP),90,Raigadh,90,89,0,Maharashtra
0,0,0,0,0,1,0,Matheran (M Cl),0,Raigadh,1,0,0,Maharashtra
0,32,0,0,0,0,0,Mhasala (NP),29,Raigadh,32,0,0,Maharashtra
0,39,32,1,0,7,2,Murud Janjira (M Cl),33,Raigadh,54,31,7,Maharashtra
3,4631,3447,0,28,0,0,Panvel (M Cl),2801,Raigadh,5112,1066,453,Maharashtra
0,88,88,0,0,5,1,Pen (M Cl),88,Raigadh,254,3,161,Maharashtra
0,0,0,0,0,0,0,Poladpur(NP),0,Raigadh,0,0,0,Maharashtra
0,13,13,0,2051,0,0,Roha Ashtami (M Cl),13,Raigadh,2064,12,0,Maharashtra
3,198,39,0,1,0,0,Shrivardhan (M Cl),169,Raigadh,279,36,80,Maharashtra
48,126,126,0,0,0,0,Tala (NP),47,Raigadh,126,126,0,Maharashtra
27,759,578,0,143,1863,0,Uran (M Cl),574,Raigadh,3032,188,267,Maharashtra
3,360,357,1,0,0,0,Chiplun (M Cl),346,Ratnagiri,596,353,235,Maharashtra
0,190,190,0,0,0,0,Dapoli Camp (NP),166,Ratnagiri,196,171,6,Maharashtra
0,148,69,0,163,0,0,Devrukh,147,Ratnagiri,329,63,18,Maharashtra
0,237,237,0,2,0,0,Guhagar,235,Ratnagiri,266,236,27,Maharashtra
0,8,8,0,1,0,0,Khed (M Cl),9,Ratnagiri,11,8,2,Maharashtra
4,309,307,0,0,2,0,Lanja MC,231,Ratnagiri,336,285,25,Maharashtra
0,0,0,0,1,0,0,Mandangad (NP),0,Ratnagiri,1,0,0,Maharashtra
0,42,42,0,0,1727,0,Rajapur (M Cl),42,Ratnagiri,1769,40,0,Maharashtra
1,939,939,0,0,0,0,Ratnagiri (M Cl),793,Ratnagiri,999,932,60,Maharashtra
1,600,600,0,2,0,1,Ashta (M Cl),391,Sangli,890,476,288,Maharashtra
0,1230,1187,0,409,0,2,Jath,433,Sangli,1639,1181,0,Maharashtra
2,307,307,0,2,0,0,Kadegaon,288,Sangli,309,304,0,Maharashtra
3,237,1,0,308,0,0,Kavathemahakal,303,Sangli,545,1,0,Maharashtra
0,227,227,0,0,0,0,Khanapur,210,Sangli,227,222,0,Maharashtra
0,285,285,0,4,0,0,Palus,191,Sangli,291,285,2,Maharashtra
320,4697,4649,1,51,3,4,Sangli Miraj Kupwad (M Corp.),3594,Sangli,6250,3757,1498,Maharashtra
22,211,124,0,1,0,0,Shirala,149,Sangli,212,12,0,Maharashtra
0,1047,1047,0,7,0,2,Tasgaon (M Cl),905,Sangli,1055,1005,1,Maharashtra
3,680,680,1,0,1,0,Uran Islampur (M Cl),680,Sangli,1244,602,562,Maharashtra
21,1459,1459,0,4,1,0,Vita (M Cl),1369,Sangli,1988,1223,524,Maharashtra
4,84,26,0,1,1,0,Devgad - Jamsande,30,Sindhudurga,87,26,1,Maharashtra
0,57,56,0,0,0,0,Kankavli (NP),47,Sindhudurga,92,55,35,Maharashtra
0,91,91,0,1,0,0,Kasai - Dodamarg (NP),91,Sindhudurga,92,3,0,Maharashtra
0,0,0,0,10,0,0,Kudal,9,Sindhudurga,10,0,0,Maharashtra
0,150,150,0,0,6,1,Malwan (M Cl),150,Sindhudurga,156,147,0,Maharashtra
0,75,75,0,0,2,0,Sawantwadi (M Cl),70,Sindhudurga,79,70,2,Maharashtra
0,247,237,1,7,9,0,Vengurla (M Cl),244,Sindhudurga,325,236,61,Maharashtra
0,0,0,0,0,0,0,Wabhave - Vaibhavwadi (NP),0,Sindhudurga,0,0,0,Maharashtra
132,2502,2042,0,405,13,0,Akkalkot (M Cl),992,Solapur,3191,1415,271,Maharashtra
6,6004,5295,1,618,22,2,Barshi (M Cl),3763,Solapur,6791,4477,146,Maharashtra
39,730,724,0,7,0,0,Dudhani (M Cl),331,Solapur,749,629,12,Maharashtra
0,298,265,0,23,0,0,Karmala (M Cl),265,Solapur,339,249,18,Maharashtra
83,750,689,0,0,2,0,Kurduvadi (M Cl),500,Solapur,1016,531,264,Maharashtra
65,736,720,0,179,0,0,Madha,476,Solapur,916,688,1,Maharashtra
38,1126,1126,0,225,1,1,Maindargi (M Cl),682,Solapur,1402,967,50,Maharashtra
0,1446,1446,2,8,6,0,Malshiras,764,Solapur,1468,1438,6,Maharashtra
30,810,673,0,38,0,0,Mangalvedhe (M Cl),650,Solapur,855,538,7,Maharashtra
10,1125,1001,1,1,0,0,Mohol Nagar Parishad,1110,Solapur,1127,974,0,Maharashtra
58,1609,1607,0,0,0,2,Pandharpur (M Cl),1068,Solapur,1777,1494,168,Maharashtra
29,2151,2151,0,1,40,0,Sangole (M Cl),1616,Solapur,2581,1953,389,Maharashtra
43,22121,21580,14,46,13,12,Solapur (M Corp.),15662,Solapur,30983,9498,8789,Maharashtra
10,4193,4193,0,4,1,0,Ambarnath(M Cl),3770,Thane,4415,3897,217,Maharashtra
8,3106,2728,2,0,0,0,Badlapur (M Cl),1550,Thane,3118,2395,10,Maharashtra
202,4572,4447,7,128,2,3,Bhiwandi Nizampur (M Corp.),2020,Thane,6775,4048,2066,Maharashtra
2,1412,1241,2,53,1,0,Kalyan-Dombivli (M Corp.),1238,Thane,1474,1205,6,Maharashtra
1,1047,989,0,3,83,0,Mira-Bhayandar (M Corp.),985,Thane,1465,967,332,Maharashtra
0,849,846,0,8,0,0,Murbad (NP),682,Thane,857,796,0,Maharashtra
1,3637,3637,1,1,1216,1,Navi Mumbai (M Corp.),3637,Thane,5004,974,149,Maharashtra
3,302,301,0,0,3,0,Shahapur (NP),299,Thane,308,299,3,Maharashtra
44,9393,8316,0,140,0,0,Thane (M Corp.),7921,Thane,9820,7330,287,Maharashtra
38,3240,2394,22,3949,0,4,Ulhasnagar (M Corp.),2409,Thane,7817,2320,606,Maharashtra
93,1834,1747,0,14,0,1,Arvi (M Cl),1507,Wardha,2683,1661,835,Maharashtra
105,1123,851,0,38,0,0,Ashti (NP),817,Wardha,1166,23,5,Maharashtra
83,1209,1208,0,65,4,0,Deoli (M Cl),901,Wardha,1440,138,162,Maharashtra
293,3106,3106,0,345,0,0,Hinganghat (M Cl),2288,Wardha,3451,3100,0,Maharashtra
45,1,0,5,497,0,0,Karanja (NP),407,Wardha,503,0,0,Maharashtra
53,909,868,0,75,0,0,Pulgaon (M Cl),639,Wardha,1028,768,44,Maharashtra
4,402,401,1,26,0,7,Samudrapur (NP),384,Wardha,431,346,2,Maharashtra
154,844,844,0,3,1,0,Selu (NP),675,Wardha,999,835,151,Maharashtra
12,1140,1139,0,30,6,0,Sindi (M Cl),933,Wardha,1256,731,80,Maharashtra
113,1107,951,0,189,0,0,Wardha (M Cl),758,Wardha,1296,926,0,Maharashtra
297,4740,3754,0,0,2,2,Karanja (M Cl),3090,Washim,4795,17,53,Maharashtra
114,1246,1242,0,39,1,1,Malegaon Zahangir (NP),1077,Washim,1316,1225,30,Maharashtra
34,1638,1577,3,29,9,0,Mangrulpir (M Cl),1465,Washim,2060,1505,381,Maharashtra
72,777,775,0,5,8,0,Manora (NP),641,Washim,821,757,31,Maharashtra
31,2139,2139,0,17,7,1,Risod (M Cl),2036,Washim,3029,2053,866,Maharashtra
265,5995,4855,3,0,13,3,Washim (M Cl),3066,Washim,6916,4614,905,Maharashtra
0,0,0,0,0,0,0,Moreh (ST),0,Chandel,0,0,0,Manipur
2,257,144,0,30,0,3,Andro (NP),16,Imphal East,289,127,2,Manipur
3,6001,5001,1,715,0,0,Imphal (M Corp),1316,Imphal East,6746,3185,29,Manipur
72,158,112,0,16,0,0,Jiribam (MC),25,Imphal East,175,69,1,Manipur
